Array Size,Seed,S Value,Runtime (s),Comparisons
10000,46,8,0.019300799999655283,121521
10000,46,9,0.01995309999983874,122550
10000,46,10,0.019246400000156427,127019
10000,46,11,0.018609200000355486,127019
10000,46,12,0.018249899999318586,127019
10000,46,13,0.0183167000004687,127019
10000,46,14,0.017339900000479247,127019
10000,46,15,0.018776799999614013,127019
10000,46,16,0.01980009999988397,127019
10000,46,17,0.01987210000061168,127019
10000,46,18,0.018654699999387958,127019
10000,46,19,0.019976800000222283,134282
10000,46,20,0.019823599999654107,143507
10000,46,21,0.01915980000012496,143507
10000,46,22,0.01934819999951287,143507
10000,46,23,0.01881000000048516,143507
10000,46,24,0.018422400000417838,143507
10000,46,25,0.018393499999547203,143507
10000,46,26,0.01810659999955533,143507
10000,46,27,0.018458999999893422,143507
10000,46,28,0.018384599999990314,143507
10000,46,29,0.017983100000492414,143507
10000,46,30,0.018087299999933748,143507
50000,42,1,0.14878760000010516,718086
50000,42,2,0.13006880000011734,718086
50000,42,3,0.11944210000001476,718162
50000,42,4,0.11966219999976602,718337
50000,42,5,0.11696440000014263,718337
50000,42,6,0.11618730000009236,727224
50000,42,7,0.11418870000034076,728911
50000,42,8,0.11238759999923786,728911
50000,42,9,0.10842109999975946,728911
50000,42,10,0.11019510000005539,728911
50000,42,11,0.11972449999939272,728911
50000,42,12,0.12379999999939173,759953
50000,42,13,0.10926440000002913,769759
50000,42,14,0.12182520000078512,769759
50000,42,15,0.13222449999921082,769759
50000,42,16,0.12745600000016566,769759
50000,42,17,0.12003249999997934,769759
50000,42,18,0.12092399999983172,769759
50000,42,19,0.11447379999935947,769759
50000,42,20,0.13287249999939377,769759
50000,42,21,0.13378319999992527,769759
50000,42,22,0.11276129999987461,769759
50000,42,23,0.12325429999964399,769759
50000,42,24,0.12394840000069962,833077
50000,42,25,0.12238930000057735,880240
50000,42,26,0.13970570000037696,880240
50000,42,27,0.1349436999998943,880240
50000,42,28,0.12519460000021354,880240
50000,42,29,0.14368760000070324,880240
50000,42,30,0.1304193000005398,880240
50000,43,1,0.1613723000000391,718058
50000,43,2,0.13866690000031667,718058
50000,43,3,0.119339900000341,718099
50000,43,4,0.11934689999998227,718257
50000,43,5,0.11943129999963276,718257
50000,43,6,0.10881919999974343,726943
50000,43,7,0.11240680000082648,728513
50000,43,8,0.10905600000023696,728513
50000,43,9,0.1100390999999945,728513
50000,43,10,0.11088420000032784,728513
50000,43,11,0.11074759999974049,728513
50000,43,12,0.10702470000069297,759114
50000,43,13,0.11273639999944862,768954
50000,43,14,0.10799839999981486,768954
50000,43,15,0.1081597000002148,768954
50000,43,16,0.10678009999992355,768954
50000,43,17,0.10590440000032686,768954
50000,43,18,0.10760400000071968,768954
50000,43,19,0.10883910000029573,768954
50000,43,20,0.10630129999935889,768954
50000,43,21,0.10576300000047922,768954
50000,43,22,0.10670719999961875,768954
50000,43,23,0.11004010000033304,768954
50000,43,24,0.12651310000001104,832005
50000,43,25,0.1259725999998409,881550
50000,43,26,0.11717200000020966,881550
50000,43,27,0.11254149999967922,881550
50000,43,28,0.1137062000007063,881550
50000,43,29,0.11046469999928377,881550
50000,43,30,0.11363239999991492,881550
50000,44,1,0.1456466999998156,718175
50000,44,2,0.1377011999993556,718175
50000,44,3,0.12601700000050187,718252
50000,44,4,0.11382959999991726,718496
50000,44,5,0.11296889999994164,718496
50000,44,6,0.10898339999948803,727353
50000,44,7,0.11203109999951266,728922
50000,44,8,0.10490139999910753,728922
50000,44,9,0.10509480000018812,728922
50000,44,10,0.11169369999970513,728922
50000,44,11,0.12151779999931023,728922
50000,44,12,0.11028199999964272,759183
50000,44,13,0.10629619999963325,769043
50000,44,14,0.10666820000005828,769043
50000,44,15,0.1052614000000176,769043
50000,44,16,0.10626880000017991,769043
50000,44,17,0.10651429999961692,769043
50000,44,18,0.10466999999971449,769043
50000,44,19,0.10822759999973641,769043
50000,44,20,0.1107719999999972,769043
50000,44,21,0.10626169999977719,769043
50000,44,22,0.12084959999992861,769043
50000,44,23,0.11072919999969599,769043
50000,44,24,0.10874169999988226,830641
50000,44,25,0.1170259000000442,880029
50000,44,26,0.11109940000005736,880029
50000,44,27,0.11441759999979695,880029
50000,44,28,0.11667020000004413,880029
50000,44,29,0.11305030000039551,880029
50000,44,30,0.11373399999956746,880029
50000,45,1,0.155616199999713,717996
50000,45,2,0.13021610000032524,717996
50000,45,3,0.11379579999993439,718013
50000,45,4,0.11603469999954541,718162
50000,45,5,0.11375020000014047,718162
50000,45,6,0.10730179999973188,727021
50000,45,7,0.1121636000007129,728742
50000,45,8,0.10567660000015167,728742
50000,45,9,0.10646700000052078,728742
50000,45,10,0.10393890000068495,728742
50000,45,11,0.10819189999983791,728742
50000,45,12,0.10886089999985415,759631
50000,45,13,0.10549480000008771,769602
50000,45,14,0.10885920000055194,769602
50000,45,15,0.10725160000038159,769602
50000,45,16,0.10774390000005951,769602
50000,45,17,0.10597800000050484,769602
50000,45,18,0.10740120000082243,769602
50000,45,19,0.10330689999955212,769602
50000,45,20,0.10861969999950816,769602
50000,45,21,0.11240560000078403,769602
50000,45,22,0.10700339999948483,769602
50000,45,23,0.11011839999991935,769602
50000,45,24,0.11476760000005015,832455
50000,45,25,0.12406689999988885,881168
50000,45,26,0.1211914000004981,881168
50000,45,27,0.13148110000020097,881168
50000,45,28,0.11200209999969957,881168
50000,45,29,0.11399290000008477,881168
50000,45,30,0.11550889999944047,881168
50000,46,1,0.14329350000025443,718113
50000,46,2,0.13250939999943512,718113
50000,46,3,0.1160823000000164,718145
50000,46,4,0.11745340000015858,718292
50000,46,5,0.11229559999992489,718292
50000,46,6,0.10548829999970621,727226
50000,46,7,0.1107893000007607,728792
50000,46,8,0.11038729999927455,728792
50000,46,9,0.11386679999941407,728792
50000,46,10,0.10806419999971695,728792
50000,46,11,0.11361949999991339,728792
50000,46,12,0.10444180000013148,759618
50000,46,13,0.11116339999989577,769343
50000,46,14,0.11022510000020702,769343
50000,46,15,0.11037920000035228,769343
50000,46,16,0.11202809999940655,769343
50000,46,17,0.11320549999982177,769343
50000,46,18,0.11260510000010981,769343
50000,46,19,0.10594630000014149,769343
50000,46,20,0.10888669999985723,769343
50000,46,21,0.1041546999995262,769343
50000,46,22,0.11639219999960915,769343
50000,46,23,0.11639690000083647,769343
50000,46,24,0.11739760000000388,832292
50000,46,25,0.11971189999985654,881298
50000,46,26,0.12308599999960279,881298
50000,46,27,0.1286232000002201,881298
50000,46,28,0.1447784000001775,881298
50000,46,29,0.14631920000010723,881298
50000,46,30,0.13827690000016446,881298
100000,42,1,0.3818437999998423,1536220
100000,42,2,0.2853165999995326,1536220
100000,42,3,0.2747118999996019,1536367
100000,42,4,0.27429489999940415,1536818
100000,42,5,0.26319280000006984,1536818
100000,42,6,0.2505150000006324,1554633
100000,42,7,0.2766587999994954,1557996
100000,42,8,0.2819486999997025,1557996
100000,42,9,0.2963585999996212,1557996
100000,42,10,0.2563755000001038,1557996
100000,42,11,0.2335080000002563,1557996
100000,42,12,0.2439367000006314,1619724
100000,42,13,0.25564699999995355,1639957
100000,42,14,0.27015579999988404,1639957
100000,42,15,0.2841816000000108,1639957
100000,42,16,0.2511385000007067,1639957
100000,42,17,0.2568559000001187,1639957
100000,42,18,0.3195700999995097,1639957
100000,42,19,0.2561769000003551,1639957
100000,42,20,0.277253400000518,1639957
100000,42,21,0.2685129000001325,1639957
100000,42,22,0.26904819999981555,1639957
100000,42,23,0.28535250000004453,1639957
100000,42,24,0.276628200000232,1765138
100000,42,25,0.2593544999999722,1863655
100000,42,26,0.25927800000044954,1863655
100000,42,27,0.2737536000004184,1863655
100000,42,28,0.2837461999997686,1863655
100000,42,29,0.26694510000015725,1863655
100000,42,30,0.2833524999996371,1863655
100000,43,1,0.35307100000045466,1536217
100000,43,2,0.30978589999995165,1536217
100000,43,3,0.2835793999993257,1536340
100000,43,4,0.2742993000001661,1536752
100000,43,5,0.2680209999998624,1536752
100000,43,6,0.292598299999554,1554472
100000,43,7,0.2973841999992146,1557624
100000,43,8,0.24172160000034637,1557624
100000,43,9,0.2685474999998405,1557624
100000,43,10,0.24911650000012742,1557624
100000,43,11,0.25262579999980517,1557624
100000,43,12,0.2951522000003024,1618597
100000,43,13,0.25596690000020317,1638249
100000,43,14,0.24684309999975085,1638249
100000,43,15,0.2560587999996642,1638249
100000,43,16,0.24122179999994842,1638249
100000,43,17,0.23402900000019144,1638249
100000,43,18,0.24019179999959306,1638249
100000,43,19,0.23399960000006104,1638249
100000,43,20,0.23383240000021033,1638249
100000,43,21,0.2334011000002647,1638249
100000,43,22,0.24274610000065877,1638249
100000,43,23,0.24730749999980617,1638249
100000,43,24,0.23808849999932136,1763184
100000,43,25,0.25722270000005665,1859619
100000,43,26,0.25598059999992984,1859619
100000,43,27,0.27938949999952456,1859619
100000,43,28,0.31007709999994404,1859619
